"time"|"timestring"|"quote"|"title"|"author"|
"00:00"|"midnight"|"“Dawn seemed to follow midnight with indecent haste.”"|"Harry Potter and the Deathly Hallows"|"J.K. Rowling"|"unknown"
"00:00"|"midnight"|"It was nearing midnight and the Prime Minister was sitting alone in his office, reading a long memo that was slipping through his brain without leaving the slightest trace of meaning behind."|"Harry Potter and the Half-Blood Prince "|"JK Rowling"|"unknown"
"00:01"|"12:01 AM"|"When the timer hits 12:01 AM on December 24, regardless of where you are or what you’re doing, you will be teleported to a room similar to the one you started in on this floor."|"The Eye of the Bedlam Bride"|"Matt Dinniman"|"unknown"
"00:02"|"two minutes past twelve"|"At two minutes past twelve the door opens and two men come into the lobby. One is tall with black hair combed in a 50’s pompadour. The other is short and bespectacled. Both are wearing suits."|"Billy Summers"|"Stephen King"|"unknown"
"00:04"|"four minutes past twelve"|"At four minutes past twelve, Frank Macintosh and Paulie Logan enter the lobby dressed in their suits. There are handshakes all around. Fran’s pompadour appears to have had an oil change. “Need to check out?” “Taken care of.” “Then let’s go.”"|"Billy Summers"|"Stephen King"|"unknown"
"00:28"|12.28|"The DRINK CHEER-UP COFFEE wall clock read 12.28."|"11/22/63"|"Stephen King"|"unknown"
"00:45"|"quarter of one"|"It was a banging shutter somewhere below that woke me. I picked my watch up from the night table and saw it was quarter of one. I didn’t think there was going to be any more sleep for me until that banging stopped, so I got dressed, started out the door, then returned to the closet for my slicker. When I got downstairs, I paused. From the big bedroom down the hall from the parlor, I could hear Mrs. S sawing wood in long, noisy strokes. No banging shutter was going to break her rest."|"Joyland"|"Stephen King"|"unknown"
"00:55"|"five to one"|"He rolled one way, rolled the other, listened to the loud tick of the clock, and was asleep a minute later. Five to one in the morning. Fifty-one hours to go."|"61 Hours"|"Lee Child"|"unknown"
"01:00"|"one o’clock"|"He shut down at one o’clock. He had written two pages, and the feeling that he was reverting to the nervous and neurotic man who’d almost burned down his house three years ago was getting harder to dismiss."|"If it Bleeds"|"Stephen King"|"unknown"
"01:00"|"one o’clock"|"“Nobody noticed that he got off the ride without his date?” “Nope. This was mid-July, the very height of the season, and the place was a swarming madhouse. They didn’t find the body until one o’clock the next morning, long after the park was closed and the Horror House work-lights were turned on. For the graveyard shift, you know.”"|"Joyland"|"Stephen King"|"unknown"
"01:00"|"one o'clock in the morning"|"The station was more crowded than he had expected to find it at - what was it? he looked up at the clock - one o'clock in the morning. What in the name of God was he doing on King's Cross station at one o'clock in the morning, with no cigarette and no home that he could reasonably expect to get into without being hacked to death by a homicidal bird?"|"The Long Dark Tea-time of the Soul "|"Douglas Adams"|"unknown"
"01:04"|"1:04"|"She had called twice during the twenty-four hours following the old bastard’s stroke, when it became obvious he was going to snuff it. The phone had not been answered either time. She called again after her father died — this time at 1:04 on the morning of August 2nd. Some drunk had answered the telephone."|"The Tommyknockers"|"Stephen King"|"unknown"
"01:17"|"seventeen minutes past one"|"At that moment (it was seventeen minutes past one in the morning) Lieutenant Bronsfield was preparing to leave the watch and return to his cabin, when his attention was attracted by a distant hissing noise."|"A voyage round the moon "|"Jules Verne"|"unknown"
"01:30"|"one thirty"|"Rose continued her meditations until one thirty that Monday morning. The rest of the True (with the exception of Apron Annie and Big Mo, currently watching over Grampa Flick) were sleeping deeply when she decided she was ready. "|"Doctor Sleep"|"Stephen King"|"unknown"
"01:30"|"one thirty"|"The late hour helped. It simplified things. It categorized the population. Innocent bystanders were mostly home in bed. I walked for half an hour, but nothing happened. Until one thirty in the morning. Until I looped around to 22nd and Broadway."|"Gone Tomorrow "|"Lee Child"|"unknown"
"01:31"|"131"|"I finished my day at 17:00 after drilling 131 holes. Not as good as yesterday, but I lost some time to the drill malfunction."|"The Martian"|"Andy Weir"|"unknown"
"01:40"|"one-forty am"|"March twelfth, one-forty am, she leaves a group of drinking buddies to catch a bus home. She never makes it."|"Bones to Ashes"|"Kathy Reichs"|"unknown"
"01:45"|"145"|"Watney: 145 holes today. 357 total."|"The Martian"|"Andy Weir"|"unknown"
"01:50"|"Ten to two"|"She had to get out of this goddam camper. It might be the biggest, luxiest one in the world, but right now it felt the size of a coffin. She made her way to the door, holding onto things to keep her balance. She glanced at the clock on the dashboard before she went out. Ten to two. Everything had happened in just twenty minutes. Incredible."|"Doctor Sleep"|"Stephen King"|"unknown"
"02:00"|"two o’clock"|"“That night I awoke around two o’clock to the sound of distant thunder and realized all over again that Mr. Harrigan was dead.  I was in my bed and he was in the ground.”"|"If it Bleeds"|"Stephen King"|"unknown"
"02:00"|"two o’clock"|"With the wigs taken care of, he puts on of the blank Staples notebooks beside his personal lappie and begins a virtual tour of houses and apartments for rent. He finds a number of possibles, but any boots-on-the-ground investigation will have to wait until he gets his goods from Amazon. It’s only two o’clock when he finishes his virtual house-hunting, too early to call it a day. It’s actually time to start writing."|"Billy Summers"|"Stephen King"|"unknown"
"02:00"|"two in the morning"|"According to his Timex, it was two in the morning. The room was cold, but his arms and chest were slimy with sweat. Want some advice, Honeybear? “No,” he said. “Not from you.”"|"Doctor Sleep"|"Stephen King"|"unknown"
"02:00"|"two in the morning"|"Although it was two in the morning, Momo answered on the second ring. She was eighty-five, and her sleep was as thin as her skin."|"Doctor Sleep"|"Stephen King"|"unknown"
"02:00"|"2 o’clock"|"Henry held out his hand for the note, which Victoria gave over in exchange for a Sweet Caporal. There were only four words: Tomorrow morning. 2 o’clock."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"02:00"|"two in the morning"|"She knew he must have his own history of her, everything from the cinnamon-flavored ChapStick she used on her lips in the winter to the smell of her shampoo when he nuzzled the back of her neck (that nuzzle didn’t come so often now, but it still came) to the click of her computer at two in the morning on those two or three nights a month when sleep for some reason jilted her. "|"Full Dark, No Stars"|"Stephen King"|"unknown"
"02:00"|"two AM"|"She shut off her computer and climbed to the second floor at a slow trudge. The shower eased her back and couple of Tylenol would probably ease it more by two AM or so; she was sure she’d be awake to find out."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"02:12"|"2.12am"|"Then the lights went out all over the city. It happened at 2.12am according to power-house records, but Blake's diary gives no indication of the time. The entry is merely, 'Lights out - God help me.'"|"The Haunter of the Dark"|"HP Lovecraft"|"unknown"
"02:15"|"2.15am"|"At 2.15am a policeman observed the place in darkness, but with the stranger's motor still at the curb."|"The Shadow Out of Time"|"H.P. Lovecraft"|"unknown"
"02:23"|"2:23 AM"|"The transformation occurred at approximately 2:23 AM, Pacific Standard Time. As far as I could tell, anyone who was indoors when it happened died instantly. If you had any sort of roof over you, you were dead."|"Dungeon Crawler Carl"|"Matt Dinniman"|"unknown"
"02:30"|"2:30 in the morning"|"I looked down at the dead woman. I wondered who she was, why someone like her was outside at 2:30 in the morning on such a night."|"Dungeon Crawler Carl"|Matt Dinniman|"Unknown"
"02:35"|2.35|"For what happened at 2.35 we have the testimony of the priest, a young, intelligent, and well-educated person; of Patrolman William J. Monohan of the Central Station, an officer of the highest reliability who had paused at that part of his beat to inspect the crowd."|"The Haunter of the Dark"|"HP Lovecraft"|"unknown"
"02:37"|"thirty-seven minutes past two"|"June 13, 1990. Thirty-seven minutes past two in the morning. And sixteen seconds."|"The Stand"|"Stephen King"|"unknown"
"02:40"|"2:40 a.m."|"Miss Conover told investigators that at 2:40 a.m., Officer Martin Willis entered the diner and ordered coffee and donut."|"The Andromeda Strain"|"Michael Crichton"|"unknown"
"02:43"|"2:43"|"She settled back beside him. 'It's 2:43:12am, Case. Got a readout chipped into my optic nerve.'"|"Neuromancer"|"William Gibson"|"unknown"
"02:45"|"Quarter to three"|"He glanced down at his watch. He had been smiling as he stroked her awake, and was smiling now. “Quarter to three. I sat in my stupid old motel room for almost two hours after we talked, trying to convince myself that what I was thinking couldn’t be true. Only I didn’t get where I am by dodging the truth.”"|"Full Dark, No Stars"|"Stephen King"|"unknown"
"02:59"|"2:59 A. M."|"I wish it left sooner,"" Sophie said,"" but Lyon will have to do."" Sooner? Langdon checked his watch 2:59 A. M. The train left in seven minutes and they didn’t even have tickets yet."|"The DaVinci Code"|"Dan Brown"|"unknown"
"03:00"|"three a.m."|"Mindy Park stared at the ceiling. She had little else to do. The three a.m. shift was pretty dull. Only a constant stream of coffee kept her awake."|"The Martian"|"Andy Weir"|"unknown"
"03:00"|"three o’clock"|"“And now it was three o’clock. The Antichrist had been on Earth for fifteen hours, and one angel and one demon had been drinking solidly for three of them.”"|"Good Omens"|"Terry Pratchett, Neil Gaiman"|"unknown"
"03:00"|"Three in the morn."|"Three a.m. That’s our reward. Three in the morn. The soul’s midnight. The tide goes out, the soul ebbs. And a train arrives at an hour of despair. Why?"|"Something Wicked This Way Comes "|"Ray Bradbury"|"unknown"
"03:00"|"three o'clock"|"According to her watch it was shortly after three o'clock, and according to everything else it was night-time."|"The Long Dark Tea-time of the Soul "|"Douglas Adams"|"unknown"
"03:00"|"Three AM."|"Roused from her sleep, Freya Gaines groped for the switch of the vidphone; groggily she found it and snapped it on. 'Lo,' she mumbled, wondering what time it was. She made out the luminous dial of the clock beside the bed. Three AM. Good grief."|"The Game Players of Titan "|"Philip K Dick"|"unknown"
"03:00"|"Three in the morning"|"Three in the morning, thought Charles Halloway, seated on the edge of his bed. Why did the train come at that hour? For, he thought, it’s a special hour. Women never wake then, do they? They sleep the sleep of babes and children. But men in middle age? They know that hour well."|"Something Wicked This Way Comes "|"Ray Bradbury"|"unknown"
"03:13"|"3:13"|"George checked his watch. It was 3:13. He reached for the pocket in his coat, the coat Edie was still wearing. He found the dragon's head."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"03:15"|"three-fifteen"|"The boss had had something rather more spectacular than a bowel movement; at three-fifteen that day he had done something in his pants that was the equivalent of a shit A-bomb."|"The Tommyknockers"|"Stephen King"|"unknown"
"03:15"|"quarter past three in the morning"|"One night in August, with the good picking done and Old Pie’s crew paid up and back on the rez, I woke to the sound of a cow lowing. I overslept milking time, I thought, but when I fumbled my father’s pocket watch off the table beside my bed and peered at it, I saw it was quarter past three in the morning."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"03:30"|"3:30 AM"|"I hadn’t summoned them, but Fitz the tavernkeeper had raised the alarm after he overheard Mordecai and Katia discussing the idea of a lich in town. Even though it was the equivalent of 3:30 AM, he’d rushed out, shouting that the “night patrol” needed to defend the city."|"Carl's Doomsday Scenario"|"Matt Dinniman"|"unknown"
"03:31"|"3:31"|"George checked his watch. It read 3:31."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"03:42"|"3:42"|"He looked at his watch: 3:42. They’d be in there until four thirty at least. He didn’t know what he was going to do. He turned away and leaned back against the building."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"03:45"|"3:45 a.m."|"Fatherhood agreed with Pete, but not in every way. He awakened at 3:45 a.m., exhausted."|"The Truth Machine"|"James L. Halperin"|"unknown"
"03:56"|"03:56"|"Ambient light negligible. Internal clock: 03:56:49."|"Robogenesis"|"Daniel H. Wilson"|"unknown"
"03:57"|"357"|"Watney: 145 holes today. 357 total."|"The Martian"|"Andy Weir"|"unknown"
"04:00"|"400"|"We estimated your food packs would last until Sol 400 at 3/4 ration per meal. Will your crops affect that number?"|"The Martian"|"Andy Weir"|"unknown"
"04:23"|"04:23"|"Her chip pulsed the time. 04:23:04. It had been a long day."|"Neuromancer "|"William Gibson"|"unknown"
"04:30"|"four thirty"|"He looked at his watch: 3:42. They’d be in there until four thirty at least. He didn’t know what he was going to do. He turned away and leaned back against the building."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"05:00"|"5:00 A.M."|"Soft yellow light came through the side windows. It was morning: he had slept the whole night! He looked quickly at his watch: 5:00 A.M. Still almost six hours to go before the boat had to be recalled."|"Jurassic Park"|"Michael Crichton"|"unknown"
"05:00"|"five"|"Muldoon scowled. “The electrified fences were off?”  “Yes.” “All of them? Since five this morning? For the last five hours?” “Yes.”"|"Jurassic Park"|"Michael Crichton"|"unknown"
"05:00"|"five"|"My grandfather Arthur once took me fishing. I was seven. I suppose he must have gone fishing frequently, although I never recall him bringing back any fish, nor indeed, any other fishing trips. He woke me up at five, before the sun was up."|"The Comical Tragedy or Tragical Comedy of Mr Punch"|"Neil Gaiman"|"unknown"
"05:00"|"five"|"Thursday morning. The day of. Billy gets up at five. He eats toast with a glass of water to wash it down. No coffee. No caffeine of any kind until the job is done. When he shoulders the 700 and looks through the Leupold scope, he wants his hands perfectly steady."|"Billy Summers"|"Stephen King"|"unknown"
"05:00"|"5 a.m."|"It was in the township of Dunwich, in a large and hardly inhabited farmhouse set against a hillside 4 miles from the village and a mile and a half from any other dwelling, that Wilbur Whately was born at 5 a.m. on Sunday, 2 February, 1913. The date was recalled because it was Candlemas, which people in Dunwich curiously observe under another name..."|"The Dunwich Horror "|"H.P. Lovecraft"|"unknown"
"05:04"|"504"|"Mindy said, “he should get there on Sol 504. Sol 505 if he takes his time. He always drives in the early morning, finishing around noon.”"|"The Martian"|"Andy Weir"|"unknown"
"05:05"|"505"|"Mindy said, “he should get there on Sol 504. Sol 505 if he takes his time. He always drives in the early morning, finishing around noon.”"|"The Martian"|"Andy Weir"|"unknown"
"05:13"|"five-thirteen"|"Wu said, “You shut down at five-thirteen this morning, and when you started back up, you started with auxiliary power.”"|"Jurassic Park"|"Michael Crichton"|"unknown"
"05:15"|"5:15 a.m."|"By the first week of May, Ralph was waking up to birdsong at 5:15 a.m. He tried earplugs for a few nights, although he doubted from the outset that they would work. It wasn’t the newly returned birds that were waking him up, nor the occasional delivery-truck backfire out on Harris Avenue. He had always been the sort of guy who could sleep in the middle of a brass marching bad, and he didn’t think that had changed. What had changed was inside his head."|"Insomnia "|"Stephen King"|"unknown"
"05:18"|"5:18 AM"|"The story is there, and the security photo that runs with it is pretty damning. An hour earlier the light wouldn’t have been good enough to show the doer’s face, but the time stamp on the bottom of the photo is 5:18 AM. The sun isn’t up but it’s getting there, and the face of the guy standing in the alley is as clear as you’d want, if you were a prosecutor."|"Billy Summers"|"Stephen King"|"unknown"
"05:18"|"5:18 A.M."|"ABOARD TPA 545 5:18 A.M. Emily Jansen sighed in relief. The long flight was nearing an end. Morning sunlight streamed through the windows of the airplane."|"Airframe"|"Michael Crichton"|"unknown"
"05:20"|"5:20"|"Crow checked the time: 5:20. The President normally rose at 5:45. Good."|"Saturn Run"|"John Sandford"|"unknown"
"05:45"|"5:45"|"Crow checked the time: 5:20. The President normally rose at 5:45. Good."|"Saturn Run"|"John Sandford"|"unknown"
"05:43"|"5:43"|"It’s 5:43. Time is racing, racing."|"If it Bleeds"|"Stephen King"|"unknown"
"05:49"|"549"|"Plenty of potatoes left. I’m good to last till 549."|"The Martian"|"Andy Weir"|"unknown"
"05:50"|"550"|"MAV: I have 550 liters of remaining water. I’ve been dumping urine outside along the way."|"The Martian"|"Andy Weir"|"unknown"
"05:55"|"five to six"|"Billy doesn’t drive to the parking garage. The parking garage is done. At five to six he parks on Main Street a few blocks from the Gerard Tower. Plenty of curbside spaces at this hour and the sidewalk is deserted."|"Billy Summers"|"Stephen King"|"unknown"
"06:00"|"6:00 a.m."|"It was now about 6:00 a.m. He sat in the chair rocking Leonard, marveling that his son was so much more alert than he had been as a newborn just 14 days earlier."|"The Truth Machine"|"James L. Halperin"|"unknown"
"06:01"|"6:01"|"“Because he’s twenty minutes late and I’m beat. I’m pinging his comm.” Should have done that at 6:01, she groused to herself."|"Saturn Run"|"John Sandford"|"unknown"
